MCS,Energy,Order
00929,-7849.7189,0.4826
00930,-7936.9678,0.4819
00931,-7907.1936,0.4892
00932,-7929.2020,0.4888
00933,-7916.7467,0.4830
00934,-7915.9290,0.4823
00935,-7984.9954,0.4874
00936,-7944.4227,0.4783
00937,-7944.8935,0.4739
00938,-7915.0661,0.4717
00939,-7934.7360,0.4703
00940,-7888.5997,0.4666
00941,-7862.4451,0.4704
00942,-7833.9710,0.4659
00943,-7874.5990,0.4701
00944,-7957.6755,0.4634
00945,-7923.3951,0.4614
00946,-7942.4748,0.4640
00947,-7940.3322,0.4681
00948,-7889.8275,0.4573
00949,-7975.2475,0.4596
00950,-7985.6138,0.4643
00951,-7991.3109,0.4633
00952,-7960.9973,0.4703
00953,-7928.7685,0.4635
00954,-7842.9051,0.4602
00955,-7907.8690,0.4656
00956,-7900.2783,0.4718
00957,-7920.4563,0.4629
00958,-7921.6619,0.4593
00959,-7885.7734,0.4556
00960,-7902.7126,0.4588
00961,-7954.5087,0.4554
00962,-7917.9842,0.4556
00963,-7877.3447,0.4584
00964,-7806.4519,0.4625
00965,-7872.0079,0.4679
00966,-7935.0664,0.4739
00967,-7928.8038,0.4760
00968,-7914.0555,0.4774
00969,-7964.3440,0.4786
00970,-7921.3813,0.4773
00971,-7893.1065,0.4783
00972,-7852.9746,0.4694
00973,-7896.0908,0.4680
00974,-7888.2026,0.4727
00975,-7918.2478,0.4650
00976,-7924.1015,0.4688
00977,-7963.7906,0.4755
00978,-7940.8675,0.4814
00979,-7950.7032,0.4746
00980,-7945.9575,0.4796
00981,-7928.4990,0.4855
00982,-7940.7104,0.4850
00983,-7962.2863,0.4893
00984,-7941.5229,0.4902
00985,-7980.8584,0.4919
00986,-8011.6853,0.4975
00987,-7959.1969,0.5004
00988,-7968.6702,0.5008
00989,-7961.0875,0.4999
00990,-7947.1802,0.4981
00991,-7970.1345,0.4960
00992,-7954.8013,0.5030
00993,-7926.1007,0.4986
00994,-7961.2960,0.4941
00995,-7894.4088,0.4869
00996,-7913.4422,0.4774
00997,-7873.0215,0.4749
00998,-7829.6922,0.4740
00999,-7806.5234,0.4777
01000,-7852.0924,0.4756
