MCS,Energy,Order
00212,-7865.7447,0.3555
00213,-7844.7966,0.3528
00214,-7880.3631,0.3491
00215,-7906.9578,0.3494
00216,-7853.2143,0.3531
00217,-7874.9681,0.3598
00218,-7915.1296,0.3666
00219,-7864.8949,0.3728
00220,-7894.6986,0.3744
00221,-7909.8792,0.3779
00222,-7873.3113,0.3787
00223,-7912.6121,0.3794
00224,-8003.2969,0.3801
00225,-8022.0301,0.3773
00226,-7973.1391,0.3773
00227,-7914.4458,0.3747
00228,-7923.5897,0.3652
00229,-7928.5837,0.3559
00230,-7935.9360,0.3689
00231,-7941.2576,0.3729
00232,-7994.5371,0.3738
00233,-8041.4693,0.3731
00234,-7991.0918,0.3746
00235,-7956.3428,0.3661
00236,-7975.1586,0.3673
00237,-7955.4333,0.3745
00238,-7950.9895,0.3730
00239,-7941.7079,0.3759
00240,-7936.5153,0.3774
00241,-7955.8969,0.3771
00242,-7931.2449,0.3816
00243,-7940.6952,0.3785
00244,-7915.9876,0.3841
00245,-7963.7394,0.3815
00246,-7982.1392,0.3859
00247,-7976.1758,0.3880
00248,-8008.5311,0.3967
00249,-7987.4876,0.3947
00250,-7972.0410,0.3933
00251,-7981.0724,0.3909
00252,-7952.4098,0.3898
00253,-7990.3893,0.3934
00254,-7973.9308,0.3929
00255,-8026.2270,0.3896
00256,-8063.1460,0.3770
00257,-7980.0729,0.3781
00258,-7948.0043,0.3774
00259,-7969.4173,0.3795
00260,-8026.4347,0.3776
00261,-7966.1859,0.3754
00262,-7987.7144,0.3747
00263,-8023.9098,0.3770
00264,-8013.3983,0.3783
00265,-8062.0126,0.3834
00266,-8035.5056,0.3859
00267,-8054.4412,0.3796
00268,-8026.3944,0.3798
00269,-8028.0313,0.3772
00270,-7975.5285,0.3778
00271,-7977.2618,0.3782
00272,-7987.2259,0.3776
00273,-8007.0229,0.3767
00274,-7921.4521,0.3792
00275,-7896.4022,0.3715
00276,-7828.3448,0.3757
00277,-7818.9936,0.3757
00278,-7874.9557,0.3722
00279,-7869.1912,0.3732
00280,-7915.7342,0.3904
00281,-7927.5659,0.3876
00282,-7952.6336,0.3819
00283,-7966.0438,0.3940
00284,-7925.1746,0.3973
00285,-7895.7670,0.3908
00286,-7920.2794,0.3899
00287,-7870.5083,0.3885
00288,-7884.5929,0.3853
00289,-7887.2612,0.3842
00290,-7885.8406,0.3778
00291,-7855.5217,0.3792
00292,-7889.7273,0.3807
00293,-7901.2541,0.3767
00294,-7910.1174,0.3784
00295,-7921.5573,0.3738
00296,-7922.2135,0.3802
00297,-7893.5377,0.3775
00298,-7920.1263,0.3824
00299,-7940.2764,0.3707
00300,-7940.5609,0.3644
00301,-7937.2737,0.3591
00302,-7923.2227,0.3680
00303,-7950.5862,0.3646
00304,-7986.3915,0.3626
00305,-7965.9179,0.3614
00306,-7958.6302,0.3654
00307,-7936.9279,0.3706
00308,-7912.6497,0.3683
00309,-7865.0041,0.3699
00310,-7893.3415,0.3652
00311,-7817.2741,0.3658
00312,-7859.8439,0.3726
00313,-7898.9216,0.3685
00314,-7877.7265,0.3714
00315,-7941.9067,0.3646
00316,-7954.0877,0.3611
00317,-7966.4318,0.3597
00318,-7946.3132,0.3541
00319,-7922.2080,0.3573
00320,-7851.0281,0.3514
00321,-7829.4652,0.3528
00322,-7847.3253,0.3581
00323,-7878.2432,0.3522
00324,-7870.9763,0.3490
00325,-7847.8221,0.3509
00326,-7910.9884,0.3492
00327,-7925.0985,0.3479
00328,-7867.2077,0.3513
00329,-7884.9677,0.3500
00330,-7876.7603,0.3509
00331,-7852.5045,0.3547
00332,-7814.5032,0.3594
00333,-7784.2189,0.3654
00334,-7844.3046,0.3688
00335,-7792.1918,0.3647
00336,-7837.0480,0.3651
00337,-7865.9197,0.3664
00338,-7863.2646,0.3701
00339,-7875.2137,0.3762
00340,-7823.3357,0.3743
00341,-7809.4279,0.3731
00342,-7828.3480,0.3803
00343,-7875.8273,0.3847
00344,-7973.1226,0.3909
00345,-7987.4917,0.3867
00346,-7997.7926,0.3839
00347,-8041.0877,0.3751
00348,-8026.2109,0.3727
00349,-7919.7143,0.3696
00350,-7892.5550,0.3680
00351,-7913.2199,0.3694
00352,-7925.4055,0.3727
00353,-7934.5629,0.3717
00354,-7924.8133,0.3694
00355,-7903.8967,0.3694
00356,-7872.2682,0.3628
00357,-7880.1455,0.3661
00358,-7901.0220,0.3736
00359,-7957.6516,0.3713
00360,-8012.0928,0.3798
00361,-7987.3898,0.3780
00362,-8012.1404,0.3877
00363,-7986.3386,0.3830
00364,-7951.0738,0.3785
00365,-7960.1407,0.3804
00366,-7977.7859,0.3871
00367,-7957.4539,0.3897
00368,-7957.7961,0.3903
00369,-7970.0300,0.3931
00370,-7984.6533,0.3946
00371,-8005.4620,0.3940
00372,-7911.6756,0.3957
00373,-7900.4001,0.3881
00374,-7913.8223,0.3820
00375,-7851.4917,0.3840
00376,-7847.6545,0.3715
00377,-7847.4361,0.3728
00378,-7817.1781,0.3715
00379,-7781.8784,0.3670
00380,-7840.5236,0.3703
00381,-7865.7237,0.3632
00382,-7862.8541,0.3670
00383,-7854.6852,0.3741
00384,-7893.6416,0.3706
00385,-7862.6860,0.3791
00386,-7831.3630,0.3742
00387,-7928.8741,0.3717
00388,-7917.2664,0.3656
00389,-7849.1270,0.3554
00390,-7828.9995,0.3629
00391,-7906.7704,0.3655
00392,-7868.9228,0.3640
00393,-7947.6515,0.3692
00394,-7933.1126,0.3709
00395,-7927.4105,0.3708
00396,-7910.9449,0.3785
00397,-7922.5522,0.3721
00398,-7856.2643,0.3737
00399,-7908.0405,0.3768
00400,-7898.2085,0.3788
00401,-7931.9179,0.3835
00402,-7966.0083,0.3750
00403,-7994.0826,0.3830
00404,-7929.9715,0.3816
00405,-7918.4535,0.3836
00406,-7979.2637,0.3798
00407,-7934.0326,0.3789
00408,-7971.2240,0.3728
00409,-7997.9596,0.3751
00410,-7998.5564,0.3745
00411,-7998.1457,0.3695
00412,-7977.9310,0.3655
00413,-8008.9086,0.3685
00414,-7988.6571,0.3666
00415,-7957.1731,0.3751
00416,-7898.9450,0.3773
00417,-7970.4813,0.3725
00418,-7941.4717,0.3730
00419,-7931.0884,0.3733
00420,-7979.6006,0.3677
00421,-7937.6324,0.3658
00422,-7947.4273,0.3703
00423,-7955.6375,0.3785
00424,-7978.3958,0.3736
00425,-7966.1042,0.3719
00426,-7984.3796,0.3691
00427,-8003.2114,0.3702
00428,-8022.8402,0.3711
00429,-8046.6864,0.3713
00430,-8051.6625,0.3694
00431,-8024.5432,0.3703
00432,-7922.8416,0.3740
00433,-7897.9099,0.3763
00434,-7862.5339,0.3820
00435,-7921.3269,0.3799
00436,-7920.2943,0.3897
00437,-7995.3268,0.3938
00438,-8007.4066,0.3942
00439,-8027.0098,0.3953
00440,-8011.1828,0.3905
00441,-7968.8554,0.3825
00442,-7930.6256,0.3796
00443,-7887.0784,0.3777
00444,-7983.9502,0.3836
00445,-7932.6134,0.3825
00446,-7975.7972,0.3795
00447,-7956.7146,0.3845
00448,-7925.3381,0.3873
00449,-7887.6705,0.3889
00450,-7860.3115,0.3834
00451,-7923.3643,0.3876
00452,-7996.3939,0.3881
00453,-8055.0227,0.3925
00454,-8006.8578,0.3903
00455,-8017.4574,0.3909
00456,-7909.9465,0.3796
00457,-7892.0957,0.3741
00458,-7962.8393,0.3711
00459,-7972.0161,0.3726
00460,-7911.0689,0.3720
00461,-7897.6992,0.3807
00462,-7879.6780,0.3760
00463,-7934.5257,0.3808
00464,-7927.7126,0.3936
00465,-7928.7637,0.3927
00466,-7920.4108,0.3919
00467,-8006.4598,0.3923
00468,-8015.6067,0.3950
00469,-8031.5308,0.3971
00470,-8001.8912,0.3891
00471,-7978.8012,0.3931
00472,-7938.8204,0.3905
00473,-7912.9966,0.3905
00474,-7852.1841,0.3824
00475,-7898.0624,0.3820
00476,-7952.2080,0.3770
00477,-8009.6495,0.3738
00478,-7985.0703,0.3682
00479,-8077.2767,0.3652
00480,-8031.8408,0.3632
00481,-7989.8178,0.3595
00482,-7995.3612,0.3627
00483,-8007.6283,0.3629
00484,-7989.9313,0.3634
00485,-7923.5857,0.3661
00486,-7972.4793,0.3682
00487,-7960.0006,0.3685
00488,-7949.4318,0.3768
00489,-7948.9538,0.3718
00490,-7957.2590,0.3782
00491,-7875.4788,0.3766
00492,-7850.6038,0.3780
00493,-7848.0719,0.3736
00494,-7892.0934,0.3797
00495,-7803.8241,0.3790
00496,-7888.8441,0.3882
00497,-7838.0473,0.3899
00498,-7820.3959,0.3875
00499,-7826.7294,0.3963
00500,-7840.4622,0.3972
00501,-7874.5734,0.3992
00502,-7917.4083,0.3977
00503,-7927.5066,0.3881
00504,-7864.4585,0.3858
00505,-7871.3641,0.3847
00506,-7889.8476,0.3904
00507,-7935.3175,0.3912
00508,-7959.9144,0.3928
00509,-7996.0887,0.3900
00510,-8001.9804,0.3875
00511,-8059.0419,0.3883
00512,-7995.8190,0.3869
00513,-8045.5262,0.3924
00514,-8024.9015,0.3929
00515,-8077.9817,0.3961
00516,-8097.0946,0.3905
00517,-8088.9394,0.3883
00518,-8042.4673,0.3886
00519,-8070.3625,0.3894
00520,-8013.3244,0.3781
00521,-7968.5292,0.3854
00522,-7987.5010,0.3869
00523,-7992.0392,0.3896
00524,-7986.3351,0.3900
00525,-7964.7591,0.3883
00526,-7910.1578,0.3919
00527,-7939.2744,0.3878
00528,-8016.7565,0.3939
00529,-8013.0053,0.3933
00530,-8037.1373,0.3911
00531,-7997.5427,0.3924
00532,-8002.5285,0.3960
00533,-7998.3360,0.3928
00534,-8058.9369,0.3939
00535,-8001.5063,0.4024
00536,-7960.9566,0.3983
00537,-7992.3286,0.4070
00538,-7974.9472,0.4078
00539,-8028.3342,0.4107
00540,-8003.4419,0.4137
00541,-8011.1435,0.4073
00542,-8008.3603,0.4064
00543,-7968.8885,0.4108
00544,-8003.8644,0.4080
00545,-8001.3071,0.4094
00546,-8010.4912,0.4089
00547,-7985.6574,0.4080
00548,-8023.9985,0.4181
00549,-7955.9030,0.4174
00550,-7925.9459,0.4122
00551,-7964.8695,0.4170
